epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.07887160032987595,0.0010000000474974513,6.280872344970703,0.07583438605070114,6.162222385406494
1,0.10766322165727615,0.0010000000474974513,5.856075763702393,0.08407266438007355,5.997622966766357
2,0.11938345432281494,0.0010000000474974513,5.646048545837402,0.08555132895708084,5.899808883666992
3,0.12528719007968903,0.0010000000474974513,5.480820655822754,0.08935361355543137,5.827204704284668
4,0.13183073699474335,0.0010000000474974513,5.334596157073975,0.09357836842536926,5.780421257019043
5,0.13718190789222717,0.0010000000474974513,5.207431793212891,0.0986480787396431,5.7548441886901855
6,0.14235858619213104,0.0010000000474974513,5.0824103355407715,0.09928178787231445,5.744720935821533
7,0.1464301347732544,0.0010000000474974513,4.973626613616943,0.10202788561582565,5.747670650482178
8,0.15213029086589813,0.0010000000474974513,4.862607479095459,0.10308407247066498,5.7487053871154785
9,0.1588483303785324,0.0005000000237487257,4.734166145324707,0.09970426559448242,5.7562479972839355
10,0.16283263266086578,0.0005000000237487257,4.667191982269287,0.10118293017148972,5.764881134033203
11,0.1678638905286789,0.0002500000118743628,4.601110935211182,0.1013941690325737,5.771510124206543
